Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer
Does the Gray Wolf share an ancestry with the domestic dog?,Yes,easy,easy
Do older pianos have more keys than modern pianos?,no.,hard,hard
Are there many Roma in Romania?,no,hard,hard
"Do all ducks ""quack""?",No,easy,medium
Does it snow in Ottawa?,yes,easy,easy
How much weight do female polar bears gain during pregnancy?,They gain double their weight.,hard,medium
Is Lima the capital of Peru?,Yes.,easy,easy
"In 1949, where did Communist forces enter without a fight?",Beiping,medium,medium
Does Theodore Roosevelt have a brother?,Yes,easy,medium
Where do most people in urban Saint Petersburg live?,apartments,medium,medium
Was Volta made a count by Napoleon in 1810?,"Yes, Volta was made a count by Napoleon in 1810.",,easy
Is the word cymbal derived from a Germanic word?,No,easy,easy
Was Calvin Coolidge the twenty-ninth vice president?,Yes,easy,easy
Have elephants been used as working animals?,yes,easy,easy
Is Korean the official language of Korea?,Yes,easy,medium
What is an economic use of a duck?,being farmed for their meat,medium,medium
Did one places between the phosphorescent substance and the paper a piece of money or a metal screen not pierce with a cut-out design ?,yes,,easy
"What is the official standard language used by the People's Republic of China, the Republic of China, and Singapore (where it is called ""Huayu"")?","Putonghua / Guoyu, often called ""Mandarin""",medium,medium
Did Horace Greenley lose in the presidential elections of 1872?,Yes,hard,hard
Does the giant otter inhabit South Africa?,No,easy,easy
Is Malay in the Austronesian family of languages?,Yes,easy,easy
What expired on March?,Monroe's presidency,,medium
Did Romania declare neutrality during World War I?,Yes,easy,easy
Did Wilson's father own slaves?,yes,easy,easy
Who was a farmer and later a land surveyor for the government?, LeRoy Pollock was a farmer and later a land surveyor for the government.,,medium
What enjoys one of the world's highest standards of living?,Liechtenstein's population,,medium
What did Cleveland die from?,A heart attack,medium,easy
Which ballet by Pyotr Tchaikovsky is partially based on an Ancient German legend about a princess who was turned into a swan?,Swan Lake,hard,hard
Was Another primary objective of Fillmore to preserve the Union from the intensifying slavery debate?,yes,,easy
Are leopards circular?,No,,easy
What is Nassau Coliseum?,"an arena in Uniondale, New York, USA",medium,medium
Does Montreal contain the largest church in Canada?,"Yes, Montreal contains the largest church in Canada.",hard,medium
Did Wilson's father own slaves?,Yeah,easy,easy
What caused Calvin Jr.'s death?,Heart attack,hard,easy
When did Coolidge meet and marry Grace Anna Goodhue?,1905,medium,medium
How old was Pascal when he lost his mother?,at the age of three,medium,medium
What is the first word on the page?,James_Monroe,easy,hard
Have many European languages borrowed numerous words from it?,yes,,easy
What is Ottawa's major league hockey team?,the Ottawa Senators,hard,medium
Did Amedeo Avogadro graduate?,yes,easy,easy
Are giraffes hunted for their hides?,Yes,easy,easy
How many international airports does Montreal have?,Montreal has two international airports.,medium,easy
Was Blaise Pascal a mathematician of the first order?,yes,easy,easy
How long is a leopard's tail?,60 to 110cm,medium,medium
Did France cede nearly all of its colonies in Europe in 1763?,Yes.,easy,easy
What led Becquerel to investigate the spontaneous emission of nuclear radiation?,phographic plates being fully exposed,,hard
"Is it characterized by large multifaceted eyes, two pairs of strong transparent wings, and an elongated body?",Yes.,,easy
Are swan birds of the family Anatidae?,Yes.,easy,easy
Had he smoked only sporadically ?,yes,,easy
How does the distribution size of the leopard compare to the distribution of other wild cats?,the leopard had the largest distribution of any wild cat.,hard,hard
What do people commonly call cleptoparasitic bees?,cuckoo bees,medium,medium
Is he most noted for his contributions to the theory of molarity and molecular weight?,yes,,easy
Did the Mughals arrive in Dhaka?,Yes,hard,medium
Is Egypt bordered by the Gaza Strip?,yes,easy,easy
Who was Grant's brother in law?,Fred Dent,medium,medium
What happened with a bromide emulsion in two sheets of very thick black paper?,the plate does not become clouded upon being exposed to the sun for a day,,hard
Was Lombardy under Napoleon's rule in 1800?,yes,hard,hard
Was Ford an Eagle Scout?,yes,easy,easy
What do with greenpeace and the natural resources defense council have in common?,They filed lawsuits in California.,,medium
Did the family move to Paris as well as there Coulomb studied at the prestigious Collge des Quatre-Nations?,Yes,,easy
Which government established Portuguese as it's third official language in order to meet the requirements to apply for full membership in the CPLP?,The government of Equatorial Guinea established Portuguese as its third official language in order to meet the requirements to apply for full membership in the CPLP.,hard,medium
Did his mother die of pneumonia?,No.,easy,easy
Who did James Monroe marry?,Elizabeth Kortright,medium,medium
What was Scots-Irish and Scottish?,His ancestry,,medium
"Was Calvin Coolidge born in Plymouth, Windsor County, Vermont?",yes,easy,easy
Was it likely that the xylophone reached Europe during the Crusades?,yes,easy,easy
Did Alessandro Volta die and retire in the same place?,Yes,hard,hard
What are the smallest trumpets referred to as?,piccolo trumpets,medium,medium
What is the best known story about a swan?,The Ugly Duckling fable.,medium,medium
Are ducks an accepted presence in some populated areas?,Yes,easy,easy
"Give an example of the official languages of the special administrative region of Macau and East Timor, . ",Portuguese,,medium
Did the modern hi-hat evolve from clash cymbals?,Yes,easy,medium
Are foxes wary of humans?,Yes,easy,easy
"What do kangaroos use for ""crawl-walking?""",Their hind feet and their tails,hard,hard
Is Portuguese an official language of Andorra?,No,easy,medium
How old was Anders Celsius when he died?,42,,medium
Did Fillmore form a law partnership before or after he founded the private University of Buffalo?,Before.,hard,hard
How can beetle larvae be differentiated from other insect larvae?,"their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body",hard,medium
Where is the Kven language spoken?,Norway,medium,medium
How long do most foxes live?,2 to 3 years,medium,medium
When did Ghana achieve independence from the United Kingdom?,1957,medium,medium
Did Charles-Augustin de Coulomb find any relationship between electric charges and magnetic poles? ,No,easy,easy
When did the Soviet military forces occupy Estonia?,In 1944.,hard,hard
Are there cathedrals scattered all across Finland?,Yes,easy,easy
Is Ottawa the capital of Canada?,Yes,easy,easy
"Who did President Lincoln promote of major general in the regular army, effective July 4?",Grant,,easy
What do we refer musicians who play flute?,"A flute player, a flautist, or a flutist",medium,medium
What positions Ford played in the school football team?,Captain,medium,hard
What family is the panda a part of?,Ursidae (bear),medium,medium
What is the official name of Jakarta?,Daerah Khusus Ibukota Jakarta,medium,easy
What is Antwerp?,Antwerp is a city and municipality in Belgium.,medium,easy
Where do sea otters live?,Beside water,medium,medium
Did Nikola Tesla use a technique called picture thinking?,Yes,easy,hard
"Did the election of 1800 not become a bitter and volatile battle , with each side expressing extraordinary fear of the other party and its policies ?",No.,,easy
What years were Coolidge's two sons born in?,1906 and 1908,hard,medium
What year did Coolidge open his own law office?,1898,medium,easy
What district was Ford elected from?,Michigan's 5th congressional district,medium,medium
How are Isabelline penguins different from most penguins?,they have brown rather than black plumage,hard,hard
How many children did Avogadro have?,six,medium,medium
How many verb paradigms are there in Korean?,There are seven verb paradigms or speech levels in Korean.,easy,easy
Did Alessandro Volta invent the remotely operated pistol?,Yes,easy,easy
Does Portuguese contain words from the Arabic language?,Yes,easy,easy
Do turtles breathe air?,Yes,easy,easy
What is Ottawa's population?,"1,190,982",medium,medium
Has Singapore Changi Airport a network of 81 airlines connecting Singapore to 185 cities in 58 countries ?,Yes,,easy
Which Russian army general conquered Finland in 1809?,Alexander I,medium,hard
What's the main highway in Ottawa?,provinical Highway 417,medium,medium
How much weight do female polar bears gain during pregnancy?,They double their weight during pregnancy,hard,medium
Name four related articles for the article on turtles.,"Triassic, Ernst Haeckel, Kunstformen der Natur, Animal",medium,medium
When was the Giant Panda's genome sequenced?,2009,medium,medium
What is the largest living species of penguin?,Emperor Penguin,medium,medium
Has Sang Nila Utama visited Singapore?,yes,easy,hard
Around how many recognized octopus species are there?,There are around 300 recognized octopus species.,medium,medium
Did Becquerel study science at the École des Ponts et Chaussées?,Yes,easy,easy
Do pandas hibernate?,No,easy,easy
Was faraday `s  earliest  chemical  work as an assistant  to Davy?,Yes,,easy
What was James Watt's father's job?,"His father was a shipwright, ship owner and contractor, and served as the town's chief baillie.",medium,hard
Is Arabic the largest member of the Semitic language family?,yes,easy,easy
Where is Arabic spoken?,The Middle East and North Africa,medium,medium
"Who died at his house at Hampton Court on August 25, 1867?",Faraday,,medium
Does Liechtenstein have an army?,No,medium,easy
Give an example of the origins of the term action painting. ,Pollock's technique of pouring and dripping paint is thought to be one of the origins of the term action painting.,,medium
What is the largest living species of penguin?,the Emperor Penguin (Aptenodytes forsteri),easy,medium
Is there cello in performances by Rihanna?,Yes,easy,easy
"Are pronouns in Literary Arabic marked for person , number and gender ?",yes,,easy
What exception to the rules of vowel harmony do compound words have?,"In compound words, the vowels need not harmonize between the constituent words of the compound.",medium,easy
"Was he a child prodigy who was educated by his father, a civil servant?",yes,,medium
Where was Isaac Newton born?,"He was born at Woolsthorpe Manor in Woolsthorpe-by-Colsterworth, a hamlet in the county of Lincolnshire.",medium,medium
Do kangaroos eat plants?,Yes,hard,hard
What was given by Aristotle for the hardened shield like forewings?,"The name ""Coleoptera"".",,easy
Did the economy improve in Jakarta in 2007,Yes,hard,easy
In which place is lyre still played?,North-eastern parts of Africa,medium,medium
When did a standard and common language become available to all Swedes?,"It was during the 20th century that a common, standardized national language became available to all Swedes.",medium,easy
What Roman province was Liechtenstein part of?,Raetia,hard,medium
How does the distribution size of the leopard compare to the distribution of other wild cats?,"As of 1996, the leopard had the largest distribution of any wild cat, although populations before and since have shown a declining trend and are fragmented outside of subsaharan Africa.",hard,hard
Does Melbourne have a large international student community?,Yes,easy,easy
Why is there purling on a cello?,to stop cracks from forming ****misspelled****,hard,hard
What can be augmented with a fourth valve?,the flugelhorn,hard,hard
The State Court rules what?,on the conformity of laws with the constitution,,easy
Why did Grant think that war was unjust?,He thought it was designed to gain land open to slavery.,hard,medium
"When was he elected sheriff of Erire County, New York?",Yes.,medium,easy
Can larger penguins dive deep in case of need ?,Yes,,easy
Did Roosevelt study biology?,yes,easy,easy
How can a flute's volume be increased?,A flute's volume can be increased by making its resonator and tone holes larger.,medium,medium
Had the drums been used in Sri Lanka since Before Christ?,yes,hard,hard
"Was Pascal's earliest work in the natural and applied sciences where he made important contributions to the construction of mechanical calculators, the study of fluids, and clarified the concepts of pressure and vacuum by generalizing the work of Evangelista Torricelli?",Yes,,easy
Who helped to fund Roosevelt's African safari?,Andrew Carnegie,hard,medium
Was Ford an Eagle Scout?,yes,easy,easy
Is a string first tuned to a standard pitch?,Yes.,,easy
is there a chinese community in jakarta?,Yes.,easy,easy
Is faraday best known for his work with kinematics?,No,easy,easy
What is the first word on the page?,James,easy,easy
Where is the mouth of an octopus?,The mouth of an octopus is at the center point of the arms.,medium,medium
Is there a statue of Watt in the White House?,No,easy,easy
Interaction with what man stirred up Newton's interest in alchemy?,"The contact with the theosophist Henry More, revived his interest in alchemy",hard,medium
About how tall is a typical studio piano?,Studio pianos are around 42 to 45 inches tall.,medium,easy
Is the Aburukuwa a type of drum?,yes,easy,medium
"These projections , called papillae , have what?",a rich blood supply,,medium
"Aside from the Provincial Letters' religious influence, were they popular as a literary work?",yes,hard,easy
"What part of the cymbal gets the best ""crash""?",edge or rim,medium,medium
What did Aristotle say about elephants?,"Aristotle once said the elephant was ""the beast which pasS08_seth all others in wit and mind.""",hard,medium
What do fossil and DNA evidence tell us?,The polar bear diverged from the brown bear about 200 thousand years ago.,hard,medium
Where did a suicide-bombing kill a teacher in 2005?,Doha Players Theatre,medium,medium
What is the Order of Santiago?,a Spanish Knightly order,medium,medium
Copenhagen is ranked number one worldwide for which things?,"Most Livable City in the World, ",hard,hard
Did Lincoln sign the National Banking Act of 1863?,yes,easy,medium
Where was the oldest flute ever discovered found?,Germany,medium,hard
What are female foxes called?,vixens,hard,medium
How much time to penguins spend on land?,They spend half of their life on land.,hard,medium
Are Canada 's official national sports ice hockey ( winter ) and lacrosse ( summer ) ?,yes,,easy
Why do honey bee queens continue to lay eggs during the foraging season?,to replace daily casualties,hard,hard
Is the flamenco guitar similar to the classical guitar?,Yes,easy,hard
When did Ghana achieve independence from the United Kingdom?,1957,medium,medium
Where is the leopard distributed?,"southern Eurasia and Africa, from Korea to South Africa and Spain",medium,medium
What is the only variety of modern Arabic that has acquired official language status?,Maltese,medium,medium
When did he marry louise désirée lorieux?,1890,,medium
Was Alessandro Volta a professor of chemistry?,No,easy,hard
What are some economic uses for duck?,"Meat,eggs,feathers",medium,medium
Did Alessandro Volta live to be 80 years old?,no,,easy
What are modern guitar strings constructed of?,"metal, polymers, animal or plant product materials",medium,easy
What did Roosevelt do to improve his physical condition?,He started boxing,medium,hard
What is the life expectancy for men?,75 years,medium,medium
Was Amedeo Avogadro Italian?,yes,easy,easy
How many people use the bus network daily?,2.78 million people,medium,medium
When did Yuan Shikai die?,1916,hard,hard
What caused Wilson to ask Congress to declare war on the Central Powers?,World War I,hard,hard
When did Anders Celcius publish his observations on the aurora borealis?,1733,easy,medium
Why did Bequerel win the Nobel Prize in Physics?,was the discoverer of radioactivity,hard,hard
Crowds of believers came to see and kiss the thorn; all of Catholic where acclaimed a miracle?,Paris,,medium
Did Theodore Roosevelt go to Harvard?,Yes,easy,medium
Is english an intonation  language?,Yes,,easy
How heavy was the largest polar bear on record?,He allegedly weighed 1002 kg,medium,medium
Did the Dutch build the Elmina Castle?,no,easy,easy
What information did he record in his diary?,He wrote descriptions of events and impressions of men,hard,medium
Was Tesla on the cover of Time magazine?,Yes,easy,hard
Where is Irving Berlin's piano located?,In the Smithsonian Museum.,hard,hard
In what year did Avogadro stop teaching at Turin University?,1853,hard,hard
Was Pascal a French mathematician?,yes,easy,easy
Was Nikola Tesla close friends with Mark Twain?,Nikola Tesla was close friends with Mark Twain.,easy,medium
Did Fillmore run for President a second time?,I don't know (semantic ambiguity),hard,hard
Does Montreal contain the largest church in Canada?,Yes,hard,hard
Who showed that Avogadro's theory held in dilute solutions?,Jacobus Henricus van Hoff,medium,medium
Whom did he share the Nobel Prize with?,Pierre and Marie Curie,medium,medium
Was Avogadro a  professor at the University of Turin?,"Yes, Avogadro was a professor at the University of Turin.",easy,easy
What land animal has the largest brain?,elephant,hard,medium
When was the reunification of Vietnam?,The reunification of Vietnam occurred in 1975-76.,medium,easy
Who founded Montevideo?,the Spanish,medium,hard
Was Newton admitted into Havard College?,"Maybe, but it doesn't say so in the article",easy,easy
"Was Coulomb born in Angoulême, France, to a well to do family?",yes,,easy
Did Uganda make Swahili a required subject in primary schools?,"Yes, Uganda made Swahili a required subject in primary schools.",easy,easy
How many noun classes does Swahili have?,Swahili has sixteen noun classes.,hard,hard
did faraday have strong maritime interests?,Yes,hard,easy
When did he die?,1908,medium,medium
What is the Order of Santiago?,a Spanish knightly order,medium,medium
Is foie gras often made from ducks?,Yes,easy,easy
Is Copenhagen completely surrounded with water? ,No,medium,hard
Who dismantled partisan and sectional coalitions ?,many congressmen,,medium
What transnational bridge was completed in 2000?,Oresund Bridge,easy,medium
Was Henri Becquerel one of the discoverers of radioactivity?,Yes,easy,easy
"What dwindled and eventually died out, starting with the Hartford Convention?",The Federalist Party,,easy
Can the title of this famous 1811 paper be roughly translated into english?,yes,,easy
Who made Volta a count?,Napoleon,medium,medium
Did Grover Cleveland win the 1884 election?,yes,easy,easy
Is the famous dragon gate at the entrance to the district at the corner of Grant and Bush Street ?,yes,,easy
Is the standard of living in San Franciscio high?,"Yes, San Francisco is characterized by a high standard of living.",easy,easy
How many municipalities does Antwerp have?,"None, Antwerp is a municipality.",hard,medium
Are otters herbivores?,No,easy,hard
Why do some people believe that left-handed people should learn to play guitars as right-handed people do?,to standardise the instrument,hard,hard
Do male giraffes have larger horns than female giraffes?,Yes,hard,medium
Is there a becquerel crater on the moon and a becquerel crater on mars?,yes,,easy
"Appreciated during his lifetime, did his fame grow in the years after his death?",yes,,hard
Are there a large number of Jews living in Egypt today?,no,hard,medium
What are four species that are commonly referred to as kangaroos?,"The Red Kangaroo, The Eastern Grey Kangaroo, The Western Grey Kangaroo, and The Antilopine Kangaroo",,hard
"In Old French, was the plural  for animal animals?",Yes,,easy
When did Volta retire?,1819,medium,medium
In what year did Henri Becquerel win the Nobel Prize in Physics?,1903,medium,medium
How many letters are in the basic Latin alphabet?,26.,medium,medium
How old was Pascal when he lost his mother?,3.,medium,easy
His passion been always the study of what?,Electricity,,easy
Is the Tiger a member of the Felidar family?,No.,easy,easy
What was the nickname of Theodore Roosevelt's sister Anna?,Bamie as a child and Bye as an adult,hard,medium
Did the media contribute 15.6% to Singapore's GDP in 2001?,no,easy,easy
When did James Monroe die?,"July 4, 1831",easy,medium
Are pianos used in Western music?,Yes,easy,easy
What contribution did Charles-Augustin de Coulomb make to the field of geotechnical engineering?,Retaining wall design,medium,medium
Is Central Park adjacent to Uhuru Park?,Central Park is adjacent to Uhuru Park.,,easy
"Consequently, what is not considered a ""serious painter"" by some contemporary artists, who often regard his work as bourgeois and kitsch?",Rockwell ,,medium
Are the dialects of Finnish divided into two groups?,"Yes, the dialects of Finnish are divided into two groups.",easy,easy
Was Sir Isaac Newton an English physicist and mathematician?,yes,easy,easy
What contributes to frequent flooding in Jakarta,"Jakarta lies on a plain eight meters, approximately eight meters above the sea level.",hard,medium
Which nation invaded Singapore during World War II?,"During World War II, the Imperial Japanese Army invaded Malaya, culminating in the Battle of Singapore.",medium,medium
He became chief engineer in the Department of Bridges and Highways in what year?,in 1894,,medium
Did Roosevelt support racial integration in schools?,yes,hard,hard
What happened in nineteen fifty seven?,Maynard Ferguson formed his own band.,,hard
"Was Wilson , a staunch opponent of antisemitism , sympathetic to the plight of Jews , especially in Poland and in France ?",Yes,,easy
When did he vote for democrat james buchanan?,1856,,easy
What happened in 1896?, Becquerel accidentally discovered radioactivity.,,hard
Was Lombardy under Napoleon's rule in 1800?,yes,hard,hard
When were the colonial buildings in Kuala Lumpur constructed?,toward the end of the 19th and early 20th centuries,hard,medium
"Was Millard Fillmore born on January 7, 1800?",yes,easy,medium
Who began control of migration to the city in order to stem the overcrowding and poverty?,Lieutenant General Ali Sadikin began control of migration to the city in order to stem the overcrowding and poverty.,,hard
What is the population of the city of Antwerp?,"Antwerp's population is 472,071.",medium,medium
What are poor neighborhoods called informally?,Cantegriles,hard,hard
"Did Grand Rapids supporters not urge him to take on Bartel J. Jonkman , the incumbent Republican congressman ?",No.,,easy
Where did Charles-Augustin de Coulomb die?,"Paris, France",medium,medium
What is the world population of Asian elephants?,60000,medium,medium
How many counties is Romania divided into?,forty-one,medium,medium
How many strings does a violin usually have?,four,medium,medium
When was the Giant Panda's genome sequenced?,2009,medium,medium
What is the dominant religion in Ghana?,Christian,hard,hard
Who or what fell in love with abigail powers?,millard fillmore,,easy
Is a Kangaroo a Marsupial?,Yes,easy,easy
Where are there small Portuguese-speaking communities?,There are small Portuguese-speaking communities in Macau and East Timor.,medium,medium
Was Charles-Augustin de Coulomb ever employed at La Rochelle?,"Yes, upon his return to France, with the rank of Captain, he was employed at La Rochelle.",easy,easy
Does Uruguay recognize same-sex civil unions?,Yes,easy,easy
Was Taipei founded in the 18th century?,Yes,easy,easy
Are violinists and fiddlers the same thing?,Yes,easy,easy
European books and maps began referring to this region as Canada in what year?,1545,,easy
What were strings first made out of?,Sheep gut.,medium,medium
Was there a cholera outbreak in 1832?,yes,easy,easy
Was Wilson an automobile enthusiast?,ouai,easy,easy
What shape is a trumpet bent into?,an oblong shape,medium,medium
Who was defeated for re-election in the`` Revolution of 1800'' by Thomas Jefferson?,John Adams,,medium
How are otters playful animals?,They slide repeatedly down snowy slopes for sheer enjoyment.,hard,hard
When did the tin whistle first appear?,In the 12th century,medium,medium
Are ants found in Antartica?,"No, there are no ants in antarctica.",easy,easy
Which building is the site of the German parliament?,The Reichstag building,medium,medium
Was Grant's father-in-law a Democrat?,yup,easy,easy
What makes it more difficult for a diving duck to fly?,They are heavier,hard,hard
"Are among the best-known of Rockwell's works the Willie Gillis series, Rosie the Riveter (although his Rosie was reproduced less than others of the day), Saying Grace (1951), and the Four Freedoms series?",Yes.,,easy
Is the museum collection also the national art collection of Liechtenstein ?,Yes,,easy
Is there cello in performances by Rihanna?,yes,easy,easy
What did Cleveland die from?,a heart attack,medium,medium
Who represented the Continental Congress in Europe?,John Adams,,medium
Is James Monrow the fifth president of US?,Yes.,easy,easy
Is the xylophone a precursor to the vibraphone?,yes,easy,easy
Was Grant elected president as a Republican?,yes,,easy
"Is it not even known whether the gigantic palaeeudyptines constitute a monophyletic lineage , or whether gigantism was evolved independently in a much restricted Palaeeudyptinae and the Anthropornithinae ?",It is not even known.,,medium
Is an official language of Canada German?,"No, it is not.",easy,easy
Is each node at an integer division of the string?,Yes.,,easy
What is the name of young swans?,Cygnets.,medium,medium
How do turtles chew food?,Turtles use their jaws to cut and chew food,medium,easy
"Has an octopus a hard beak, with its mouth at the center point of the arms?",Yes,,easy
How many countries in Europe are bigger than Romania?  ,Eleven,hard,hard
Is there a statue of Watt in the White House?,"No, a colossal statue of Watt by Chantrey was placed in Westminster Abbey, and later was moved to St. Paul's Cathedral.",easy,easy
Are large pythons potential prey for leopards?,Yes,easy,easy
Can an elephant kill a rhinoceros?,yes,easy,hard
What is the second main orchestral use of cymbals?,The suspended cymbal,medium,easy
When did the Gettysburg address argue that America was born?,1776.,hard,hard
Do sea otters have long muscular tails?,no,easy,medium
What did James Monroe's letters not contain?,No letters survive in which he might have discussed his religious beliefs.,hard,hard
The district is bordered to the southwest by Uhuru Park and where?,Central Park,,medium
Is the leopard an Old World mammal?,.,easy,easy
Was Woodrow Wilson the thirtieth President of the United States?,No,easy,easy
When was Melbourne officially declared as a city?,In 1847.,medium,hard
Did Theodore Roosevelt go to Harvard?,Yes,easy,easy
Is the octopus a cephalopod?,"Yes, the octopus is a cephalopod.",easy,easy
Can a flute be played with several different air sources?,yes,easy,easy
